ID	Gene	GDM category	HGNC_ID	NCBI_ID	MIMNumber		
3625	ACTR3	blue	HGNC:170	10096	604222		
3827	ACTR3B	blue	HGNC:17256	57180			
14874	ACTR3C	blue	HGNC:37282	653857			
3014	ACTR5	blue	HGNC:14671	79913			
8724	ACTR6	blue	HGNC:24025	64431			
3015	ACTR8	blue	HGNC:14672	93973			
8726	ACTRT1	grey-red	HGNC:24027	139741	300487		
8725	ACTRT2	blue	HGNC:24026	140625	608535		
8722	ACTRT3	blue	HGNC:24022	84517	608534		
3718	ACVR1	red	HGNC:171	90	102576		
3800	ACVR1B	blue	HGNC:172	91	601300		
5390	ACVR1C	blue	HGNC:18123	130399	608981		
4829	ACVR2A	blue	HGNC:173	92	102581		
4906	ACVR2B	blue	HGNC:174	93	602730		
4957	ACVRL1	red	HGNC:175	94	601284		
5054	ACY1	red	HGNC:177	95	104620		
8789	ACY3	blue	HGNC:24104	91703	614413		
5208	ACYP1	blue	HGNC:179	97	600875		
5284	ACYP2	grey-blue	HGNC:180	98	102595		
5742	ADA	red	HGNC:186	100	608958		
5596	ADA2	red	HGNC:1839	51816	607575		
13518	ADAD1	blue	HGNC:30713	132612	614130		
13519	ADAD2	blue	HGNC:30714	161931			
13725	ADAL	blue	HGNC:31853	161823			
5883	ADAM10	red	HGNC:188	102	602192		
5951	ADAM11	blue	HGNC:189	4185	155120		
6017	ADAM12	blue	HGNC:190	8038	602714		
6234	ADAM15	blue	HGNC:193	8751	605548		
6333	ADAM17	blue	HGNC:195	6868	603639		
6358	ADAM18	blue	HGNC:196	8749			
6415	ADAM19	blue	HGNC:197	8728	603640		
6470	ADAM2	blue	HGNC:198	2515	601533		
6537	ADAM20	blue	HGNC:199	8748	603712		
6604	ADAM21	blue	HGNC:200	8747	603713		
6651	ADAM22	blue	HGNC:201	53616	603709		
6711	ADAM23	blue	HGNC:202	8745	603710		
6991	ADAM28	blue	HGNC:206	10863	606188		
7059	ADAM29	blue	HGNC:207	11086	604778		
7130	ADAM30	blue	HGNC:208	11085	604779		
3475	ADAM32	blue	HGNC:15479	203102			
3474	ADAM33	blue	HGNC:15478	80332	607114		
7517	ADAM7	blue	HGNC:214	8756	607310		
7561	ADAM8	blue	HGNC:215	101	602267		
7614	ADAM9	red	HGNC:216	8754	602713		
4394	ADAMDEC1	blue	HGNC:16299	27299	606393		
7672	ADAMTS1	blue	HGNC:217	9510	605174		
2099	ADAMTS10	red	HGNC:13201	81794	608990		
2970	ADAMTS12	blue	HGNC:14605	81792	606184		
2375	ADAMTS13	red	HGNC:1366	11093	604134		
3161	ADAMTS14	blue	HGNC:14899	140766	607506		
4397	ADAMTS15	blue	HGNC:16305	170689	607509		
3726	ADAMTS16	blue	HGNC:17108	170690	607510		
3727	ADAMTS17	red	HGNC:17109	170691	607511		
3729	ADAMTS18	red	HGNC:17110	170692	607512		
3730	ADAMTS19	blue	HGNC:17111	171019	607513		
7731	ADAMTS2	red	HGNC:218	9509	604539		
3779	ADAMTS20	blue	HGNC:17178	80070	611681		
7756	ADAMTS3	grey-red	HGNC:219	9508	605011		
7787	ADAMTS4	blue	HGNC:220	9507	603876		
7807	ADAMTS5	blue	HGNC:221	11096	605007		
7831	ADAMTS6	blue	HGNC:222	11174	605008		
7868	ADAMTS7	blue	HGNC:223	11173	605009		
7883	ADAMTS8	blue	HGNC:224	11095	605175		
2100	ADAMTS9	blue	HGNC:13202	56999	605421		
2987	ADAMTSL1	grey-blue	HGNC:14632	92949	609198		
2986	ADAMTSL2	red	HGNC:14631	9719	612277		
2988	ADAMTSL3	blue	HGNC:14633	57188	609199		
6422	ADAMTSL4	red	HGNC:19706	54507	610113		
11532	ADAMTSL5	blue	HGNC:27912	339366			
4501	ADAP1	blue	HGNC:16486	11033	608114		
4502	ADAP2	blue	HGNC:16487	55803	608635		
7905	ADAR	red	HGNC:225	103	146920		
7915	ADARB1	blue	HGNC:226	104	601218		
7925	ADARB2	blue	HGNC:227	105	602065		
7930	ADAT1	blue	HGNC:228	23536	604230		
7372	ADAT2	blue	HGNC:21172	134637	615388		
9787	ADAT3	grey-blue	HGNC:25151	113179	615302		
6052	ADCK1	blue	HGNC:19038	57143			
6053	ADCK2	blue	HGNC:19039	90956			
7709	ADCK5	blue	HGNC:21738	203054			
8246	ADCY1	grey-blue	HGNC:232	107	103072		
7442	ADCY10	blue	HGNC:21285	55811	605205		
8311	ADCY2	blue	HGNC:233	108	103071		
8376	ADCY3	red	HGNC:234	109	600291		
8449	ADCY4	blue	HGNC:235	196883	600292		
8509	ADCY5	red	HGNC:236	111	600293		
8578	ADCY6	blue	HGNC:237	112	600294		
8648	ADCY7	blue	HGNC:238	113	600385		
8679	ADCY8	blue	HGNC:239	114	103070		
8705	ADCY9	blue	HGNC:240	115	603302		
8783	ADCYAP1	blue	HGNC:241	116	102980		
8860	ADCYAP1R1	blue	HGNC:242	117	102981		
8942	ADD1	blue	HGNC:243	118	102680		
9004	ADD2	blue	HGNC:244	119	102681		
9059	ADD3	grey-blue	HGNC:245	120	601568		
7403	ADGB	blue	HGNC:21212	79747	614630		
2472	ADGRA1	blue	HGNC:13838	84435	612302		
5159	ADGRA2	blue	HGNC:17849	25960	606823		
2473	ADGRA3	blue	HGNC:13839	166647	612303		
18724	ADGRB1	blue	HGNC:943	575	602682		
18728	ADGRB2	grey-red	HGNC:944	576	602683		
18736	ADGRB3	blue	HGNC:945	577	602684		
6531	ADGRD1	blue	HGNC:19893	283383	613639		
5785	ADGRD2	blue	HGNC:18651	347088			
14136	ADGRE1	blue	HGNC:3336	2015	600493		
14137	ADGRE2	grey-red	HGNC:3337	30817	606100		
8546	ADGRE3	blue	HGNC:23647	84658	606101		
3728	ADGRE5	blue	HGNC:1711	976	601211		
6009	ADGRF1	blue	HGNC:18990	266977			
6010	ADGRF2	blue	HGNC:18991	222611			
6008	ADGRF3	blue	HGNC:18989	165082			
6028	ADGRF4	blue	HGNC:19011	221393	614268		
6045	ADGRF5	blue	HGNC:19030	221395			
15500	ADGRG1	red	HGNC:4512	9289	604110		
15504	ADGRG2	grey-red	HGNC:4516	10149	300572		
2408	ADGRG3	blue	HGNC:13728	222487			
6011	ADGRG4	blue	HGNC:18992	139378			
6027	ADGRG5	blue	HGNC:19010	221188	616965		
2476	ADGRG6	red	HGNC:13841	57211	612243		
6197	ADGRG7	blue	HGNC:19241	84873	612307		
7236	ADGRL1	blue	HGNC:20973	22859	616416		
5723	ADGRL2	blue	HGNC:18582	23266	607018		
7237	ADGRL3	blue	HGNC:20974	23284	616417		
7151	ADGRL4	blue	HGNC:20822	64123	616419		
4913	ADGRV1	red	HGNC:17416	84059	602851		
9595	ADH1A	blue	HGNC:249	124	103700		
9667	ADH1B	blue	HGNC:250	125	103720		
9744	ADH1C	blue	HGNC:251	126	103730		
9836	ADH4	blue	HGNC:252	127	103740		
9918	ADH5	blue	HGNC:253	128	103710		
10071	ADH6	blue	HGNC:255	130	103735		
10175	ADH7	blue	HGNC:256	131	600086		
4414	ADHFE1	blue	HGNC:16354	137872	611083		
13414	ADI1	blue	HGNC:30576	55256	613400		
12002	ADIG	blue	HGNC:28606	149685	611396		
2363	ADIPOQ	blue	HGNC:13633	9370	605441		
8735	ADIPOR1	grey-blue	HGNC:24040	51094	607945		
8736	ADIPOR2	blue	HGNC:24041	79602	607946		
8738	ADIRF	blue	HGNC:24043	10974			
10257	ADK	red	HGNC:257	132	102750		
10416	ADM	blue	HGNC:259	133	103275		
9349	ADM2	blue	HGNC:28898	79924	608682		
11367	ADM5	blue	HGNC:27293	199800			
3958	ADNP	red	HGNC:15766	23394	611386		
8653	ADNP2	blue	HGNC:23803	22850			
8456	ADO	blue	HGNC:23506	84890	611392		
9261	ADORA1	blue	HGNC:262	134	102775		
10699	ADORA2A	blue	HGNC:263	135	102776		
10775	ADORA2B	blue	HGNC:264	136	600446		
11074	ADORA3	blue	HGNC:268	140	600445		
9886	ADPGK	blue	HGNC:25250	83440	611861		
11148	ADPRH	blue	HGNC:269	141	603081		
7457	ADPRHL1	blue	HGNC:21303	113622	610620		
7458	ADPRHL2	blue	HGNC:21304	54936	610624		
13665	ADPRM	blue	HGNC:30925	56985			
11492	ADRA1A	blue	HGNC:277	148	104221		
11510	ADRA1B	blue	HGNC:278	147	104220		
11558	ADRA1D	blue	HGNC:280	146	104219		
11615	ADRA2A	blue	HGNC:281	150	104210		
11683	ADRA2B	grey-blue	HGNC:282	151	104260		
11747	ADRA2C	blue	HGNC:283	152	104250		
11911	ADRB1	blue	HGNC:285	153	109630		
11996	ADRB2	blue	HGNC:286	154	109690		
12161	ADRB3	blue	HGNC:288	155	109691		
3951	ADRM1	blue	HGNC:15759	11047	610650		
12347	ADSL	red	HGNC:291	158	608222		
12443	ADSS	blue	HGNC:292	159	103060		
6647	ADSSL1	grey-red	HGNC:20093	122622	612498		
7405	ADTRP	blue	HGNC:21214	84830	614348		
13223	AEBP1	red	HGNC:303	165	602981		
8746	AEBP2	blue	HGNC:24051	121536			
10276	AEN	blue	HGNC:25722	64782	610177		
13504	AES	blue	HGNC:307	166	600188		
8720	AFAP1	blue	HGNC:24017	60312	608252		
11009	AFAP1L1	blue	HGNC:26714	134265	614410		
10419	AFAP1L2	blue	HGNC:25901	84632	612420		
17268	AFDN	blue	HGNC:7137	4301	159559		
17266	AFF1	blue	HGNC:7135	4299	159557		
14922	AFF2	red	HGNC:3776	2334	300806		
16842	AFF3	grey-red	HGNC:6473	3899	601464		
5179	AFF4	red	HGNC:17869	27125	604417		
4457	AFG1L	blue	HGNC:16411	246269			
9485	AFG3L2	red	HGNC:315	10939	604581		
9491	AFM	blue	HGNC:316	173	104145		
7208	AFMID	blue	HGNC:20910	125061			
9514	AFP	grey-red	HGNC:317	174	104150		
10462	AFTPH	blue	HGNC:25951	54812			
13699	AGA	red	HGNC:318	175	613228		
4811	AGAP1	blue	HGNC:16922	116987	608651		
4810	AGAP2	blue	HGNC:16921	116986	605476		
4812	AGAP3	blue	HGNC:16923	116988	616813		
8417	AGAP4	blue	HGNC:23459	119016			
8421	AGAP5	blue	HGNC:23467	729092			
8420	AGAP6	blue	HGNC:23466	414189			
8419	AGAP9	blue	HGNC:23463	642517			
10854	AGBL1	blue	HGNC:26504	123624	615496		
10697	AGBL2	grey-blue	HGNC:26296	79841			
11547	AGBL3	blue	HGNC:27981	340351			
10408	AGBL4	blue	HGNC:25892	84871	616476		
10624	AGBL5	red	HGNC:26147	60509	615900		
13783	AGER	blue	HGNC:320	177	600214		
16106	AGFG1	blue	HGNC:5175	3267	600862		
16108	AGFG2	blue	HGNC:5177	3268	604019		
8037	AGGF1	blue	HGNC:24684	55109	608464		
7742	AGK	red	HGNC:21869	55750	610345		
13809	AGL	red	HGNC:321	178	610860		
5609	AGMAT	blue	HGNC:18407	79814			
14283	AGMO	blue	HGNC:33784	392636	613738		
13962	AGO1	blue	HGNC:3262	26523	606228		
13963	AGO2	blue	HGNC:3263	27161	606229		
5620	AGO3	blue	HGNC:18421	192669	607355		
5622	AGO4	blue	HGNC:18424	192670	607356		
13893	AGPAT1	blue	HGNC:324	10554	603099		
13940	AGPAT2	red	HGNC:325	10555	603100		
13959	AGPAT3	blue	HGNC:326	56894	614794		
7196	AGPAT4	blue	HGNC:20885	56895	614795		
7197	AGPAT5	blue	HGNC:20886	55326	614796		
13980	AGPS	red	HGNC:327	8540	603051		
13996	AGR2	blue	HGNC:328	10551	606358		
8836	AGR3	blue	HGNC:24167	155465	609482		
14004	AGRN	red	HGNC:329	375790	103320		
14033	AGRP	blue	HGNC:330	181	602311		
14126	AGT	red	HGNC:333	183	106150		
3829	AGTPBP1	blue	HGNC:17258	23287	606830		
14190	AGTR1	red	HGNC:336	185	106165		
14292	AGTR2	grey-blue	HGNC:338	186	300034		
2287	AGTRAP	blue	HGNC:13539	57085	608729		
14400	AGXT	red	HGNC:341	189	604285		
2836	AGXT2	blue	HGNC:14412	64902	612471		
7991	AHCTF1	blue	HGNC:24618	25909	610853		
14425	AHCY	red	HGNC:343	191	180960		
14464	AHCYL1	blue	HGNC:344	10768	607826		
7837	AHCYL2	blue	HGNC:22204	23382	616520		
9865	AHDC1	red	HGNC:25230	27245	615790		
7596	AHI1	red	HGNC:21575	54806	608894		
14541	AHNAK	blue	HGNC:347	79026	103390		
6662	AHNAK2	grey-blue	HGNC:20125	113146	608570		
14546	AHR	grey-red	HGNC:348	196	600253		
14536	AHRR	blue	HGNC:346	57491	606517		
1656	AHSA1	blue	HGNC:1189	10598	608466		
6887	AHSA2P	blue	HGNC:20437	130872			
14552	AHSG	grey-blue	HGNC:349	197	138680		
5347	AHSP	blue	HGNC:18075	51327	605821		
2101	AICDA	red	HGNC:13203	57379	605257		
10306	AIDA	blue	HGNC:25761	64853	612375		
14588	AIF1	blue	HGNC:352	199	601833		
9355	AIF1L	blue	HGNC:28904	83543			
18194	AIFM1	red	HGNC:8768	9131	300169		
7524	AIFM2	blue	HGNC:21411	84883	605159		
10774	AIFM3	blue	HGNC:26398	150209			
7621	AIG1	blue	HGNC:21607	51390	608514		
14646	AIM2	blue	HGNC:357	9447	604578		
137	AIMP1	red	HGNC:10648	9255	603605		
6999	AIMP2	grey-red	HGNC:20609	7965	600859		
14655	AIP	red	HGNC:358	9049	605555		
14664	AIPL1	red	HGNC:359	23746	604392		
14674	AIRE	red	HGNC:360	326	607358		
13588	AJAP1	blue	HGNC:30801	55966	610972		
14876	AJM1	blue	HGNC:37284	389813			
6748	AJUBA	blue	HGNC:20250	84962	609066		
14684	AK1	grey-red	HGNC:361	203	103000		
14692	AK2	red	HGNC:362	204	103020		
4891	AK3	blue	HGNC:17376	50808	609290		
14700	AK4	blue	HGNC:363	205	103030		
14706	AK5	blue	HGNC:365	26289	608009		
15901	AK6	blue	HGNC:49151	102157402			
6645	AK7	blue	HGNC:20091	122481	615364		
10876	AK8	blue	HGNC:26526	158067	615365		
14301	AK9	blue	HGNC:33814	221264	615358		
11734	AKAIN1	blue	HGNC:28285	642597	616427		
14722	AKAP1	blue	HGNC:367	8165	602449		
14733	AKAP10	blue	HGNC:368	11216	604694		
14744	AKAP11	blue	HGNC:369	11215	604696		
14753	AKAP12	blue	HGNC:370	9590	604698		
14770	AKAP13	blue	HGNC:371	11214	604686		
8753	AKAP14	blue	HGNC:24061	158798	300462		
5871	AKAP17A	blue	HGNC:18783	8227	312095 | 465000		
14800	AKAP2	blue	HGNC:372	11217	604582		
14882	AKAP3	blue	HGNC:373	10566	604689		
14885	AKAP4	blue	HGNC:374	8852	300185		
14896	AKAP5	blue	HGNC:375	9495	604688		
14903	AKAP6	blue	HGNC:376	9472	604691		
14915	AKAP7	blue	HGNC:377	9465	604693		
14924	AKAP8	blue	HGNC:378	10270	604692		
12916	AKAP8L	blue	HGNC:29857	26993	609475		
14929	AKAP9	grey-blue	HGNC:379	10142	604001		
1490	AKIP1	blue	HGNC:1170	56672	609191		
10293	AKIRIN1	blue	HGNC:25744	79647	615164		
7522	AKIRIN2	blue	HGNC:21407	55122	615165		
8791	AKNA	blue	HGNC:24108	80709	605729		
11823	AKNAD1	blue	HGNC:28398	254268			
14939	AKR1A1	blue	HGNC:380	10327	103830		
14950	AKR1B1	blue	HGNC:381	231	103880		
14959	AKR1B10	blue	HGNC:382	57016	604707		
14873	AKR1B15	blue	HGNC:37281	441282	616336		
14967	AKR1C1	blue	HGNC:384	1645	600449		
14969	AKR1C2	grey-red	HGNC:385	1646	600450		
14970	AKR1C3	blue	HGNC:386	8644	603966		
14978	AKR1C4	blue	HGNC:387	1109	600451		
14984	AKR1D1	red	HGNC:388	6718	604741		
8401	AKR1E2	blue	HGNC:23437	83592			
14986	AKR7A2	blue	HGNC:389	8574	603418		
14988	AKR7A3	blue	HGNC:390	22977	608477		
8749	AKR7L	blue	HGNC:24056	246181			
14991	AKT1	red	HGNC:391	207	164730		
11845	AKT1S1	blue	HGNC:28426	84335	610221		
14993	AKT2	red	HGNC:392	208	164731		
14994	AKT3	red	HGNC:393	10000	611223		
4628	AKTIP	blue	HGNC:16710	64400	608483		
14999	ALAD	red	HGNC:395	210	125270		
15005	ALAS1	blue	HGNC:396	211	125290		
