CFAP97D2	ENST00000646158
FBXW8	ENST00000309909
FRMD4B	ENST00000398540
TRIM17	ENST00000366697
EPAS1	ENST00000263734
SLC9A4	ENST00000295269
GPATCH8	ENST00000591680
APOBEC3H	ENST00000401756
DAZ1	ENST00000405239
MYOG	ENST00000241651
CRYBG3	ENST00000389622
KIZ	ENST00000619189
PKM	ENST00000319622
ANKRD40	ENST00000285243
SFRP1	ENST00000220772
CHST7	ENST00000276055
CNTROB	ENST00000380262
QPRT	ENST00000395384
ELMOD2	ENST00000323570
OR4K15	ENST00000305051
LILRB4	ENST00000391736
PRY	ENST00000303728
CPA6	ENST00000297770
GOLGA6L9	ENST00000618348
CFAP161	ENST00000286732
EFHC1	ENST00000371068
CLGN	ENST00000325617
GKN2	ENST00000328895
SH3BP5	ENST00000383791
OR2G3	ENST00000320002
COX4I1	ENST00000562336
SIM2	ENST00000290399
STK4	ENST00000372806
OLA1	ENST00000284719
PCDHGA7	ENST00000518325
PCDHGA9	ENST00000573521
PCDHGB1	ENST00000523390
SERBP1	ENST00000370995
TANC1	ENST00000263635
NRCAM	ENST00000379028
GTF3A	ENST00000381140
ZACN	ENST00000334586
GALR2	ENST00000329003
BICRA	ENST00000396720
GPT	ENST00000394955
PCDHGA3	ENST00000253812
SYN3	ENST00000358763
SLC35D1	ENST00000235345
PDE9A	ENST00000291539
NEPRO	ENST00000314400
CAMKV	ENST00000477224
PARP1	ENST00000366794
DEFB106A	ENST00000335186
VGF	ENST00000249330
BHMT2	ENST00000255192
RAET1G	ENST00000367360
ATP2C1	ENST00000507488
SNRPN	ENST00000645002
LEFTY2	ENST00000366820
RACGAP1	ENST00000427314
GJB5	ENST00000338513
NAA15	ENST00000296543
PSMD9	ENST00000541212
LIN54	ENST00000340417
MAEL	ENST00000367872
PRSS40B	ENST00000409259
ST6GALNAC2	ENST00000225276
NOCT	ENST00000280614
MTURN	ENST00000324453
DLGAP4	ENST00000373913
SLC6A4	ENST00000261707
PINX1	ENST00000314787
CAPN2	ENST00000295006
CFAP20	ENST00000262498
POLE4	ENST00000483063
CFHR3	ENST00000367425
TIMMDC1	ENST00000494664
LOX	ENST00000231004
SH2D1B	ENST00000367929
CARD6	ENST00000254691
CFAP61	ENST00000245957
TNFSF8	ENST00000223795
PI16	ENST00000373674
CCDC33	ENST00000398814
EIF4EBP3	ENST00000310331
PARN	ENST00000437198
TBCCD1	ENST00000424280
EFS	ENST00000216733
OR51M1	ENST00000642046
AFAP1L1	ENST00000296721
ARRDC4	ENST00000268042
PCP4L1	ENST00000504449
PRMT7	ENST00000339507
CORO1B	ENST00000393893
AFF3	ENST00000409579
PDLIM4	ENST00000253754
PCDHB10	ENST00000239446
NLRP9	ENST00000332836
DEFA1B	ENST00000382689
PCDHB12	ENST00000239450
SNED1	ENST00000310397
RTP3	ENST00000296142
BBIP1	ENST00000454061
SLC16A10	ENST00000368851
ETDB	ENST00000423661
TOMM40L	ENST00000367988
SCGB2B2	ENST00000601241
CARMIL1	ENST00000329474
PLPPR2	ENST00000591608
IQSEC2	ENST00000642864
ITIH1	ENST00000273283
OR52A1	ENST00000380367
OR4F15	ENST00000332238
PGR	ENST00000325455
ACP4	ENST00000270593
OR2I1P	ENST00000641137
C1orf21	ENST00000235307
UCP3	ENST00000314032
NDUFS2	ENST00000367993
WDR7	ENST00000254442
ZNF772	ENST00000343280
GPR42	ENST00000597214
LMO1	ENST00000335790
ZNF345	ENST00000529555
SRCIN1	ENST00000617146
THSD7A	ENST00000423059
SCLY	ENST00000254663
TMC5	ENST00000396229
CAVIN3	ENST00000303927
ZNF362	ENST00000539719
CPNE5	ENST00000244751
RAB40A	ENST00000372633
