#GENE SYNS
SDF2	.
SDF2L1	AP000553.C22.4,OTTHUMT00000075032
BMP15	GDF9B
SDHA	SDH2,FP,SDHF
SDHB	SDH,SDH1
SDHC	PGL3,CYB560,cybL
SDHD	PGL,PGL1,cybS,cybS
BMP2	BMP2A
CAVIN2	SDPR,cavin-2,PS-p68,SDR
SDS	SDH
EXOC5	SEC10L1,SEC10,SEC10P
SEC13	SEC13L1,npp-20,SEC13R,npp-20,SEC13R
SEC14L1	SEC14L,PRELID4A
SEC14L2	C22orf6,KIAA1186,KIAA1658,SPF,TAP,TAP1
BMP3	.
SEC22B	SEC22L1,ERS-24,sec22b
SEC23A	.
SEC23B	CDAN2,CDAII,CDA-II,HEMPAS
SEC24A	.
SEC24B	.
SEC24C	KIAA0079
SEC24D	KIAA0755
SECTM1	K12
BMP4	BMP2B
TRAPPC2B	TRAPPC2P1,MIP-2A,SEDLP1,MIP-2A,SEDLP1
SEL1L	IBD2,SEL1L1
SELE	ELAM1,CD62E,ESEL,CD62E,ESEL
SELENBP1	hSBP,hSP56,LPSB
BMP5	.
